89,125,39
109,153,48
127,178,56
109,153,48
174,164,115
213,201,140
247,233,163
213,201,140
140,140,140
171,171,171
199,199,199
171,171,171
180,0,0
220,0,0
255,0,0
220,0,0
112,112,180
138,138,220
160,160,255
138,138,220
117,117,117
144,144,144
167,167,167
144,144,144
0,87,0
0,106,0
0,124,0
0,106,0
180,180,180
220,220,220
255,255,255
220,220,220
115,118,129
141,144,158
164,168,184
141,144,158
106,76,54
130,94,66
151,109,77
130,94,66
79,79,79
96,96,96
112,112,112
96,96,96
45,45,180
55,55,220
64,64,255
55,55,220
100,84,50
123,102,62
143,119,72
123,102,62
180,177,172
220,217,211
255,252,245
220,217,211
152,89,36
186,109,44
216,127,51
186,109,44
125,53,152
153,65,186
178,76,216
153,65,186
72,108,152
88,132,186
102,153,216
88,132,186
161,161,36
197,197,44
229,229,51
197,197,44
89,144,17
109,176,21
127,204,25
109,176,21
170,89,116
208,109,142
242,127,165
208,109,142
53,53,53
65,65,65
76,76,76
65,65,65
108,108,108
132,132,132
153,153,153
132,132,132
53,89,108
65,109,132
76,127,153
65,109,132
89,44,125
109,54,153
127,63,178
109,54,153
36,53,125
44,65,153
51,76,178
44,65,153
72,53,36
88,65,44
102,76,51
88,65,44
72,89,36
88,109,44
102,127,51
88,109,44
108,36,36
132,44,44
153,51,51
132,44,44
17,17,17
21,21,21
25,25,25
21,21,21
176,168,54
215,205,66
250,238,77
215,205,66
64,154,150
79,188,183
92,219,213
79,188,183
52,90,180
63,110,220
74,128,255
63,110,220
0,153,40
0,187,50
0,217,58
0,187,50
91,60,34
111,74,42
129,86,49
111,74,42
