#1.8.1
147,124,113
180,152,138
209,177,161
110,93,85
112,57,25
137,70,31
159,82,36
84,43,19
105,61,76
128,75,93
149,87,108
78,46,57
79,76,97
96,93,119
112,108,138
59,57,73
131,93,25
160,114,31
186,133,36
98,70,19
72,82,37
88,100,45
103,117,53
54,61,28
112,54,55
138,66,67
160,77,78
84,40,41
40,28,24
49,35,30
57,41,35
30,21,18
95,75,69
116,92,84
135,107,98
71,56,51
61,64,64
75,79,79
87,92,92
46,48,48
86,51,62
105,62,75
122,73,88
64,38,46
53,43,64
65,53,79
76,62,92
40,32,48
53,35,24
65,43,30
76,50,35
40,26,18
53,57,29
65,70,36
76,82,42
40,43,22
100,42,32
122,51,39
142,60,46
75,31,24
26,15,11
31,18,13
37,22,16
19,11,8
